Freq(Hz),Eq=(1-S11)/(1+S11)(DB),Eq=(1-S11)/(1+S11)(DEG),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
150090937.5,-33.004307,46.653549,-0.26676601,-1.8649406,-79.13813,136.77689,-79.879807,-115.38537,-0.89131498,94.779976
150091875,-32.970135,46.605358,-0.26805592,-1.8708088,-85.265083,-2.4603593,-77.641098,-133.84692,-0.89348704,94.780807
150092812.5,-32.956272,46.740032,-0.26781532,-1.8779541,-80.205917,-92.227791,-87.185524,-62.5047,-0.89154261,94.770912
150093750,-32.973038,46.555187,-0.26821464,-1.8686357,-83.764534,126.90761,-80.573181,146.78818,-0.89168364,94.756279
150094687.5,-33.002762,46.753811,-0.26631811,-1.8683487,-80.099037,-154.61816,-77.733902,144.81754,-0.89230782,94.761787
150095625,-32.959644,46.705601,-0.26788244,-1.876164,-78.395752,113.12017,-86.09317,-146.95711,-0.89253098,94.760437
150096562.5,-32.988197,46.65799,-0.26723912,-1.8685406,-81.391365,-34.089081,-76.249878,76.886429,-0.89269686,94.750122
150097500,-32.969364,46.535873,-0.26842365,-1.8688301,-84.544586,120.5741,-83.589523,-122.48817,-0.89249396,94.751419
150098437.5,-32.936249,46.734043,-0.26846299,-1.8821043,-79.46154,120.49516,-94.373734,-19.427727,-0.89214134,94.734596
150099375,-32.94981,46.704994,-0.26818877,-1.8782711,-93.82077,-116.93604,-80.810684,56.786324,-0.89093667,94.723526
150100312.5,-33.004513,46.662582,-0.26671517,-1.8651744,-80.817329,-141.45247,-82.553391,-104.17262,-0.89202178,94.719658
150101250,-32.961823,46.778275,-0.2674543,-1.877932,-81.374123,-22.734701,-87.664398,54.147011,-0.89230722,94.718193
150102187.5,-32.993088,46.486877,-0.26793325,-1.8622204,-81.711182,44.0144,-85.063866,17.192671,-0.89222878,94.711617
150103125,-32.956295,46.568054,-0.26866817,-1.8726398,-84.275642,-167.02785,-78.346542,169.20375,-0.89277595,94.718315
150104062.5,-32.966526,46.800194,-0.26720065,-1.877589,-73.034058,123.14663,-77.783775,18.309755,-0.89100724,94.708626
150105000,-32.969196,46.892521,-0.26665953,-1.8798474,-84.962776,-138.86719,-72.379478,-10.426286,-0.89191663,94.691963
150105937.5,-32.963905,46.726631,-0.26764661,-1.8758907,-80.958733,-166.73003,-77.378387,-24.968632,-0.89122951,94.685974
