Frequency,admitance_abs,admitance_r,admitance_i,impedance_abs,impedance_r,impedance_i
150063000,0.0004613565980695973,0.00029765772020929807,0.00035249083985566945,2167.520751159055,1398.4394890978062,-1656.0535021662135
150064000,0.00046136048186905433,0.0002976593523840503,0.0003524945448780077,2167.502504654972,1398.423612730497,-1656.0430269299654
150065000,0.00046136436627168136,0.0002976609844120876,0.0003524982508099822,2167.484255624403,1398.4077323538665,-1656.0325517551244
150066000,0.00046136825127772945,0.0002976626162933594,0.00035250195765195743,2167.466004066307,1398.3918479663992,-1656.0220766415778
150067000,0.00046137213688744863,0.00029766424802781514,0.0003525056654042967,2167.4477499796426,1398.3759595665817,-1656.0116015892092
150068000,0.0004613760231010894,0.00029766587961540386,0.00035250937406736414,2167.4294933633687,1398.3600671528977,-1656.0011265979056
150069000,0.0004613799099189024,0.00029766751105607484,0.000352513083641524,2167.411234216443,1398.344170723832,-1655.9906516675521
150070000,0.0004613837973411388,0.00029766914234977734,0.0003525167941271409,2167.3929725378243,1398.3282702778672,-1655.9801767980357
150071000,0.00046138768536804954,0.0002976707734964607,0.00035252050552457944,2167.374708326467,1398.3123658134855,-1655.9697019892399
150072000,0.000461391573999885,0.00029767240449607375,0.00035252421783420386,2167.356441581331,1398.2964573291704,-1655.9592272410516
150073000,0.0004613954632368971,0.00029767403534856565,0.00035252793105637994,2167.338172301369,1398.2805448233999,-1655.948752553356
150074000,0.00046139935307933685,0.0002976756660538857,0.00035253164519147225,2167.3199004855383,1398.2646282946564,-1655.9382779260372
150075000,0.00046140324352745573,0.0002976772966119829,0.00035253536023984627,2167.301626132793,1398.2487077414194,-1655.927803358981
150076000,0.0004614071345815055,0.0002976789270228062,0.0003525390762018678,2167.2833492420873,1398.2327831621656,-1655.9173288520728
150077000,0.0004614110262417379,0.0002976805572863047,0.0003525427930779025,2167.265069812376,1398.2168545553745,-1655.906854405198
150078000,0.0004614149185084047,0.00029768218740242736,0.0003525465108683163,2167.24678784261,1398.200921919522,-1655.8963800182396
150079000,0.000461418811381758,0.00029768381737112334,0.0003525502295734752,2167.2285033317444,1398.1849852530863,-1655.8859056910837
150080000,0.00046142270486204987,0.0002976854471923413,0.0003525539491937456,2167.21021627873,1398.1690445545416,-1655.8754314236144
150081000,0.000461426598949533,0.0002976870768660304,0.00035255766972949444,2167.191926682518,1398.1530998223616,-1655.8649572157162
150082000,0.00046143049364445906,0.0002976887063921393,0.0003525613911810876,2167.173634542062,1398.1371510550237,-1655.8544830672747
150083000,0.0004614343889470813,0.00029769033577061707,0.0003525651135488926,2167.1553398563083,1398.1211982509976,-1655.8440089781725
150084000,0.00046143828485765216,0.0002976919650014125,0.0003525688368332765,2167.1370426242092,1398.1052414087571,-1655.8335349482943
150085000,0.0004614421813764246,0.00029769359408447446,0.0003525725610346065,2167.1187428447147,1398.089280526775,-1655.8230609775255
150086000,0.00046144607850365135,0.00029769522301975154,0.0003525762861532499,2167.100440516773,1398.073315603521,-1655.8125870657489
150087000,0.0004614499762395858,0.0002976968518071928,0.00035258001218957467,2167.082135639331,1398.0573466374653,-1655.8021132128483
150088000,0.000461453874584481,0.00029769848044674667,0.0003525837391439486,2167.0638282113377,1398.0413736270773,-1655.7916394187084
150089000,0.00046145777353859046,0.00029770010893836205,0.0003525874670167396,2167.0455182317405,1398.0253965708262,-1655.7811656832123
150090000,0.00046146167310216757,0.0002977017372819876,0.00035259119580831593,2167.027205699487,1398.0094154671801,-1655.7706920062446
150091000,0.00046146557327546604,0.000297703365477572,0.0003525949255190462,2167.00889061352,1397.9934303146053,-1655.7602183876875
150092000,0.0004614694740587399,0.0002977049935250639,0.0003525986561492991,2166.9905729727884,1397.9774411115684,-1655.7497448274255
150093000,0.00046147337545224276,0.0002977066214244119,0.0003526023876994433,2166.9722527762356,1397.9614478565352,-1655.7392713253416
150094000,0.00046147727745622885,0.0002977082491755646,0.00035260612016984786,2166.953930022806,1397.9454505479703,-1655.7287978813188
