Frequency,admitance_abs,admitance_r,admitance_i,impedance_abs,impedance_r,impedance_i
150089062.5,0.00044807031078166853,0.00030711422193322303,0.00032626347955346164,2231.792591335735,1529.7046662357156,-1625.0851684874092
150090000.0,0.00044916166447033244,0.0003074855726739092,0.0003274123141043378,2226.3698777125815,1524.1207587020403,-1622.8920929252972
150090937.5,0.0004475222022672555,0.0003071829152499567,0.00032544550711397494,2234.5260077237062,1533.7970044321946,-1624.984070195296
150091875.0,0.0004492863931593493,0.00030866853544912894,0.00032646898520660006,2225.751803806252,1529.135001670229,-1617.31791519595
150092812.5,0.0004500040703747636,0.00030839215556080257,0.00032771625187411274,2222.2021217879615,1522.8966748217463,-1618.32258462143
150093750.0,0.0004491363064929266,0.00030885108263890214,0.00032608960511320526,2226.49557727466,1531.0620842513338,-1616.5183109979241
150094687.5,0.00044760189256253115,0.00030666753331993774,0.00032604060825765956,2234.128176435921,1530.6784630997943,-1627.3758482131118
150095625.0,0.0004498294381286054,0.0003084692748428069,0.0003274037719468879,2223.0648224363167,1524.4604634110894,-1618.0350738628194
150096562.5,0.0004483530472037728,0.000307727933700706,0.0003260735710805192,2230.385198085905,1530.8289586613962,-1622.0914990111892
150097500.0,0.00044932636649110607,0.0003090917379336248,0.0003261234140095911,2225.553794693276,1530.959101373221,-1615.3185206008566
150098437.5,0.0004510425942147589,0.0003091382030108119,0.0003284402430202878,2217.085509941612,1519.5589934424702,-1614.4375565010762
150099375.0,0.0004503389665759624,0.00030882214683167257,0.0003277713630611781,2220.549573143165,1522.75272010812,-1616.1882811694975
150100312.5,0.00044751174080418264,0.0003071244022380929,0.0003254863433501997,2234.578244143932,1533.5765409275668,-1625.2639546602938
150101250.0,0.0004497166622886246,0.0003079765010731302,0.0003277126044673489,2223.622302342446,1522.7886218369429,-1620.3737089568765
150102187.5,0.00044810062425243387,0.0003085265492091879,0.0003249700569106198,2231.6416132387676,1536.5314144626352,-1618.4237709291042
150103125.0,0.00045000283831847585,0.00030937359531266206,0.00032678820819913556,2222.208205923059,1527.7515687871398,-1613.7485722813863
150104062.5,0.0004494731643213497,0.0003076844363149286,0.0003276528850698734,2224.826929344882,1522.9933041438267,-1621.83422737074
150105000.0,0.00044933498021258863,0.0003070616272379679,0.0003280473769451887,2225.5111309759495,1520.8454703223213,-1624.7857857262068
150105937.5,0.0004496086403519356,0.00030819773322826713,0.00032735620768831316,2224.1565447168423,1524.6148403419909,-1619.3893676369894
